ID;Deca;Competitor;DOB;Nat;Pos;Venue;Date;100m;Long_Jump;Shot_Put;High_Jump;400m;110m_Hurdles;Discus_Throw;Pole_Vault;Javelin_Throw;1500m;k3;k4;k5
1;6667;Hans-Heinrich Sievert;;GER ;1;Turin;09.09.1934;-0.279128417;-0.442450709;0.585504149;-1.592815461;0.133259074;-1.490122913;0.610915741;-2.398394534;-0.287075177;-3.331142711;0;2;2
2;6490;Leif Dahlgren;;SWE ;2;Turin;09.09.1934;-1.904597735;-1.787240682;-0.683476688;-1.220493374;-0.664666981;-1.23483676;-0.757728483;-2.398394534;-0.698658232;-0.312461547;2;0;0
3;6179;Jerzy Pławczyk;;POL ;3;Turin;09.09.1934;-1.375675179;-2.060571978;-1.661406874;-0.935776484;-1.973764415;-2.688857892;-0.531417234;-1.694572497;-1.051443707;-1.358708996;2;0;0
4;6094;Jānis Dimza;;LAT ;4;Turin;09.09.1934;-1.375675179;-0.857914278;0.620430227;-0.935776484;-3.183121092;-2.921945249;0.27683723;-2.574350043;-1.629619903;-2.756564194;0;2;4
5;6250;Armin Guhl;;SUI;5;Turin;09.09.1934;-0.279128417;-0.573649731;-1.416924327;-1.220493374;-1.973764415;-1.490122913;-0.499087055;-3.224031923;-1.3552312;-1.307254203;1;0;0
6;5931;Wolrad Eberle;;GER ;6;Turin;09.09.1934;-1.375675179;-2.968031878;-0.683476688;-2.950696013;-0.889083684;-5.563601962;-0.779281936;-2.574350043;0.222503843;-0.312461547;2;0;0
7;5888;Eletto Contieri;;ITA;7;Turin;09.09.1934;-1.375675179;-2.082438481;-1.603196744;-2.052742745;-1.001292035;-3.365921167;-2.083265803;-2.905958503;-1.257235235;-0.200976163;2;0;0
8;5618;Hermann Ruckstuhl;;SUI;8;Turin;09.09.1934;-2.42061974;-3.296029433;-1.405282301;-2.950696013;-1.761815306;-1.978496423;-1.393555328;-2.574350043;-1.982405379;-1.212920417;2;0;0
9;5552;Maurice Boulanger;;BEL;9;Turin;09.09.1934;-2.42061974;-2.25737051;-2.220224123;-3.377771348;-1.761815306;-4.220574809;-2.891520266;-2.229206544;-1.590421517;0.450784543;2;0;0
10;5320;Giovanni Lux;;ITA;10;Turin;09.09.1934;-2.42061974;-3.667759994;-1.114231651;-2.950696013;-3.769098039;-3.365921167;-1.889284732;-2.398394534;-0.659459846;-2.259167866;2;0;0
