ID,Deca,Competitor,DOB,Nat,Pos,Venue,Date,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus_Throw,Pole_Vault,Javelin_Throw,1500m,1500m_secs,100m_pts,Long_Jump_pts,Shot_Put_pts,High_Jump_pts,400_pts,110m_Hurdles_pts,Discus_Throw_pts,Pole_Vault_pts,Javelin_Throw_pts,1500m_pts,100m_dev,Long_Jump_dev,Shot_Put_dev,High_Jump_dev,400m_dev,110m_Hurdles_dev,Discus_Throw_dev,Pole_Vault_dev,Javelin_Throw_dev,1500m_dev
1,6667,Hans-Heinrich Sievert,,GER ,1,Turin,9/9/1934,"11,2","7,00","14,77","1,8","49,6",16,"45,03","3,3","55,47",05:55.2,"355,00",817,814,776,628,834,733,768,432,670,285,"-0,2791284166","-0,4424507095","0,5855041488","-1,592815461","0,1332590744","-1,490122913","0,6109157412","-2,398394534","-0,2870751774","-3,330800303"
2,6490,Leif Dahlgren,,SWE ,2,Turin,9/9/1934,"11,8","6,47","12,99","1,84",51,"15,8","38,83","3,3","52,6",04:46.8,"287,00",691,691,667,662,770,756,641,432,628,637,"-1,904597735","-1,787240682","-0,6834766877","-1,220493374","-0,6646669807","-1,23483676","-0,7577284832","-2,398394534","-0,698658232","-0,3124003674"
3,6179,Jerzy Pławczyk,,POL ,3,Turin,9/9/1934,"11,6","6,36","11,6","1,87","53,4",17,"39,84","3,7","50,19",05:07.8,"308,00",732,666,583,688,665,625,662,536,592,515,"-1,375675179","-2,060571978","-1,661406874","-0,9357764845","-1,973764415","-2,688857892","-0,5314172335","-1,694572497","-1,051443707","-1,358550345"
4,6094,Jānis Dimza,,LAT ,4,Turin,9/9/1934,"11,6","6,84","14,81","1,87","55,8","17,2","43,53","3,2","46,2",05:39.6,"340,00",732,776,779,688,568,604,737,406,533,352,"-1,375675179","-0,8579142784","0,6204302269","-0,9357764845","-3,183121092","-2,921945249","0,2768372297","-2,574350043","-1,629619903","-2,756275315"
5,6250,Armin Guhl,,SUI,5,Turin,9/9/1934,"11,2","6,95","11,96","1,84","53,4",16,"39,99","2,8","48,12",05:07.2,"307,00",817,802,604,662,665,733,665,310,561,521,"-0,2791284166","-0,5736497312","-1,416924327","-1,220493374","-1,973764415","-1,490122913","-0,499087055","-3,224031923","-1,3552312","-1,307100346"
6,5931,Wolrad Eberle,,GER ,6,Turin,9/9/1934,"11,6","5,98","12,98","1,65","51,4","19,8","38,74","3,2","58,91",04:46.6,"287,00",732,583,667,504,752,366,639,406,722,637,"-1,375675179","-2,968031878","-0,6834766877","-2,950696013","-0,8890836836","-5,563601962","-0,7792819356","-2,574350043","0,2225038427","-0,3124003674"
7,5888,Eletto Contieri,,ITA,7,Turin,9/9/1934,"11,6","6,35","11,68","1,75","51,6","17,6","32,66",3,"48,79",04:45.2,"285,00",732,664,588,586,743,564,518,357,571,650,"-1,375675179","-2,082438481","-1,603196744","-2,052742745","-1,001292035","-3,365921167","-2,083265803","-2,905958503","-1,257235235","-0,2009253697"
8,5618,Hermann Ruckstuhl,,SUI,8,Turin,9/9/1934,12,"5,84","11,97","1,65",53,"16,4","35,9","3,2","43,77",05:05.4,"305,00",651,553,605,504,682,689,582,406,497,532,"-2,42061974","-3,296029433","-1,405282301","-2,950696013","-1,761815306","-1,978496423","-1,393555328","-2,574350043","-1,982405379","-1,212775348"
9,5552,Maurice Boulanger,,BEL,9,Turin,9/9/1934,12,"6,28","10,81","1,6",53,"18,4","28,9","3,4","46,46",04:33.0,"273,00",651,648,535,465,682,487,443,457,537,726,"-2,42061974","-2,25737051","-2,220224123","-3,377771348","-1,761815306","-4,220574809","-2,891520266","-2,229206544","-1,590421517","0,4507746164"
10,5320,Giovanni Lux,,ITA,10,Turin,9/9/1934,12,"5,68","12,38","1,65",57,"17,6","33,58","3,3","52,92",05:28.0,"328,00",651,519,630,504,521,564,536,432,632,410,"-2,42061974","-3,667759994","-1,114231651","-2,950696013","-3,769098039","-3,365921167","-1,889284732","-2,398394534","-0,6594598459","-2,258925326"
