id;date;time;trigger;fatalities;injuries;location_description;location_accuracy;landslide_size;population;countrycode;geolocation
7474;01.12.2015;;Rain;0;0;Above_road;Known_within_5km;Medium;14400;JM;(18.134, -76.455100000000002)
3842;25.07.2011;;Rain;0;;;Known_within_10_km;Small;629;US;(37.428800000000003, -105.447)
3835;22.07.2011;;Tropical_Cyclone;0;;;Unknown;Medium;2817;MX;(19.580500000000001, -101.70229999999999)
3812;19.07.2011;;Rain;0;;;Known_within_5_km;Small;6447;US;(39.6492, -106.5372)
3834;22.07.2011;;Tropical_Cyclone;0;;;Unknown;Medium;165250;MX;(17.497399999999999, -99.537999999999997)
3409;25.04.2011;;Downpour;0;;;Known_within_1_km;Small;3234;US;(39.136899999999997, -84.790400000000005)
7473;01.12.2015;;Rain;0;0;Above_road;Known_within_10km;Medium;13671;JM;(18.4313, -77.191900000000004)
7472;01.12.2015;;Rain;0;0;Above_road;Known_within_5km;Small;12873;JM;(18.091799999999999, -76.942899999999995)
7435;24.11.2015;;Rain;0;0;Retaining_wall;Known_within_5km;Small;122194;GT;(14.4758, -90.531199999999998)
7429;23.11.2015;;Rain;0;6;Unknown;Known_within_10km;Medium;97172;GT;(14.6881, -90.486000000000004)
7503;23.11.2015;;Rain;0;0;Unknown;Known_within_10km;Medium;1908;PA;(8.7867999999999995, -82.866200000000006)
7493;23.11.2015;;Unknown;0;0;Above_road;Known_within_10km;Small;11680;CR;(9.1463999999999999, -83.326800000000006)
7504;22.11.2015;;Rain;0;0;Above_road;Known_within_10km;Medium;0;PA;(8.7462999999999997, -82.456900000000005)
7459;21.11.2015;22:30;Rain;1;0;Below_road;Known_within_25km;Medium;1340;HN;(14.689299999999999, -88.809799999999996)
7487;18.11.2015;01:11;Unknown;1;0;Unknown;Known_within_5km;Small;47494;CR;(10.0442, -84.210599999999999)
7452;16.11.2015;;Rain;0;0;Unknown;Known_within_10km;Medium;29607;PA;(9.3626000000000005, -79.822100000000006)
7507;11.11.2015;;Downpour;0;0;Above_road;Known_within_25km;Small;2823;PA;(8.8330000000000002, -82.801400000000001)
7496;11.11.2015;;Rain;0;0;Above_road;Known_within_10km;Small;8292;CR;(9.8747000000000007, -84.384100000000004)
7495;05.11.2015;;Rain;0;0;Above_road;Known_within_5km;Medium;5467;CR;(9.3496000000000006, -83.5565)
7444;29.10.2015;;Rain;0;0;Above_road;Known_within_1km;Medium;26047;CR;(9.9573999999999998, -84.087900000000005)
7488;29.10.2015;;Downpour;1;0;Unknown;Known_within_5km;Medium;11853;CR;(10.114000000000001, -84.389200000000002)
7455;29.10.2015;;Continuous_rain;1;0;Unknown;Known_within_10km;Medium;4673;HN;(14.9064, -87.593000000000004)
7515;21.10.2015;;Rain;0;0;Above_road;Known_within_15km;Medium;19092;MX;(15.3482, -92.252300000000005)
7516;21.10.2015;;Rain;0;0;Below_road;Known_within_25km;Medium;18608;MX;(17.705500000000001, -91.741600000000005)
7346;19.10.2015;;Tropical_Cyclone;0;0;Above_road;Known_within_25km;Medium;3634;GT;(14.1974, -90.274299999999997)
7347;19.10.2015;;Rain;0;0;Above_road;Known_within_50km;Medium;2680;GT;(14.3855, -91.178899999999999)
7442;19.10.2015;;Downpour;0;1;Unknown;Known_within_10km;Medium;9936;SV;(13.845700000000001, -89.744500000000002)
7456;16.10.2015;23:00;Rain;5;0;Deforested_slope;Known_within_5km;Medium;1470;HN;(14.574199999999999, -87.7286)
7433;15.10.2015;;Rain;1;0;Unknown;Known_within_25km;Medium;4671;GT;(15.5779, -89.732100000000003)
7490;15.10.2015;;Downpour;0;0;Above_road;Known_within_10km;Medium;4060;CR;(9.7917000000000005, -83.981499999999997)
7518;15.10.2015;;Flooding;0;0;Below_road;Known_within_50km;Medium;32415;MX;(17.4054, -91.2988)
7501;08.10.2015;;Rain;0;0;Above_road;Known_within_10km;Small;0;PA;(9.1260999999999992, -82.299599999999998)
7470;08.10.2015;;Rain;0;0;Unknown;Known_within_10km;Medium;6955;NI;(13.817600000000001, -85.688000000000002)
7431;07.10.2015;;Rain;0;0;Unknown;Known_within_50km;Medium;2500;MX;(17.91, -92.895600000000002)
7430;07.10.2015;;Rain;0;0;Unknown;Known_within_50km;Medium;1042;MX;(17.376799999999999, -92.743899999999996)
7439;06.10.2015;;Rain;0;0;Above_road;Known_within_25km;Small;45654;GT;(14.7159, -91.870800000000003)
7479;03.10.2015;night;Tropical_Cyclone;0;0;Unknown;Known_within_50km;Medium;1201;MX;(17.558599999999998, -98.948300000000003)
7510;31.08.2015;;Downpour;0;0;Urban_area;Known_within_5km;Medium;321501;PA;(9.0687999999999995, -79.494399999999999)
7511;31.08.2015;;Downpour;0;0;Urban_area;Known_within_5km;Medium;321501;PA;(9.0771999999999995, -79.488200000000006)
7505;26.08.2015;;Continuous_rain;0;0;Below_road;Known_within_15km;Medium;0;PA;(8.5771999999999995, -82.8232)
7340;15.08.2015;;Rain;0;0;Urban_area;Known_within_1km;Small;416427;US;(38.811300000000003, -104.8545)
7230;19.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;1502;US;(33.097999999999999, -116.6468)
7480;23.07.2015;;Rain;0;0;Above_road;Known_within_15km;Medium;16056;NI;(13.7484, -84.778000000000006)
7257;21.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;1638;US;(38.183799999999998, -81.313900000000004)
7231;19.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;10109;US;(33.068100000000001, -116.7469)
7233;19.07.2015;;Downpour;0;1;Below_road;Known_within_5km;Medium;1006;US;(33.712000000000003, -115.3871)
7229;19.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;20292;US;(33.074199999999998, -116.9029)
7232;19.07.2015;;Downpour;0;0;Below_road;Known_within_1km;small;20292;US;(33.049999999999997, -116.836)
7438;18.07.2015;;Rain;0;0;Above_road;Known_within_5km;Small;10095;SV;(13.846399999999999, -89.450199999999995)
7498;29.06.2015;;Downpour;0;0;Unknown;Known_within_5km;Medium;918;PA;(9.2102000000000004, -82.370500000000007)
7200;14.07.2015;;Continuous_rain;0;0;Above_road;Known_within_1km;Small;6097;US;(36.203200000000002, -82.467299999999994)
7219;14.07.2015;;Continuous_rain;0;0;Above_road;Known_within_2km;Small;6903;US;(37.407800000000002, -82.4405)
7193;13.07.2015;;Continuous_rain;0;0;Above_road;Exact_Location;Small;994;US;(38.499000000000002, -80.720500000000001)
7216;13.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;1009;US;(38.565300000000001, -80.445899999999995)
7217;13.07.2015;;downpour;0;0;Above_road;Known_within_1km;Small;1009;US;(38.480699999999999, -80.413799999999995)
7197;12.07.2015;13:00;Continuous_rain;0;0;Above_road;Known_within_1km;Small;1036;US;(40.21, -80.574100000000001)
7428;11.07.2015;morning;Rain;0;0;Urban_area;Known_within_5km;Medium;97172;GT;(14.689, -90.490200000000002)
7218;11.07.2015;overnight;Continuous_rain;0;0;Below_road;Known_within_1km;Small;17916;US;(39.728099999999998, -91.370800000000003)
7142;07.07.2015;overnight;Continuous_rain;0;0;Deforested_slope;Known_within_5km;Medium;2325;US;(37.851399999999998, -107.7791)
7514;23.05.2015;;Rain;0;0;Below_road;Known_within_10km;Medium;3796;MX;(15.0337, -92.112399999999994)
7179;06.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;1355;CR;(10.0678, -84.003299999999996)
7180;06.07.2015;;Downpour;0;0;Above_road;Known_within_1km;Small;0;CR;(10.1495, -83.943600000000004)
7082;03.07.2015;;Unknown;0;0;Above_road;Known_within_1km;Small;637;US;(37.782699999999998, -107.6666)
7085;30.06.2015;;Downpour;0;0;Natural_slope;Exact_Location;Small;2304;US;(38.942399999999999, -84.8459)
7497;29.06.2015;;Downpour;0;0;Above_road;Known_within_25km;Small;22900;PA;(9.3879999999999999, -82.485799999999998)
7030;24.06.2015;;Downpour;0;0;Above_road;Exact_Location;Medium;3009;US;(43.500900000000001, -108.164)
6987;23.06.2015;21:00;Unknown;0;0;Above_river;Known_within_1km;Medium;1569;US;(40.982199999999999, -80.343299999999999)
7489;21.06.2015;morning;Rain;0;0;Above_road;Known_within_10km;Small;993;PA;(8.907, -82.186700000000002)
