Stop;Longitude;Latitude;Ort
1;9,52608;48,715901;Ebersbach an der Fils
2;9,52602;48,71569;
3;9,52368;48,71522;
4;9,52373;48,71519;
5;9,52381;48,71512;
6;9,52388;48,71515;
7;9,52388;48,71518;
8;9,5237;48,71548;
9;9,52357;48,71548;
10;9,52352;48,71546;
11;9,52345;48,71546;
12;9,52344;48,71547;
13;9,52341;48,71548;
14;9,52319;48,71567;
15;9,52333;48,71583;
16;9,52314;48,71617;
17;9,52307;48,71625;
18;9,52303;48,71628;
19;9,52291;48,71634;
20;9,52252;48,71644;
21;9,52241;48,71651;
22;9,52233;48,71658;
23;9,5221;48,71696;
24;9,52174;48,71746;
25;9,52166;48,7175;
26;9,52162;48,71751;
27;9,52142;48,71764;
28;9,52102;48,71785;
29;9,52083;48,71799;
30;9,5207;48,71813;
31;9,52043;48,71853;
32;9,52032;48,71874;
33;9,52029;48,71878;
34;9,51993;48,71972;
35;9,51985;48,7201;
36;9,51982;48,7204;
37;9,51984;48,72081;
38;9,52025;48,72273;
39;9,52032;48,72292;
40;9,52049;48,72328;
41;9,52117;48,72434;
42;9,52128;48,72448;
43;9,52141;48,7247;
44;9,52105;48,72477;
45;9,52094;48,72481;
46;9,52083;48,72488;
47;9,52072;48,72502;
48;9,52068;48,72509;
49;9,52057;48,72521;
50;9,51994;48,72578;
51;9,51977;48,72588;
52;9,51876;48,72617;
53;9,5169;48,72644;
54;9,51633;48,72661;
55;9,51618;48,72662;
56;9,51608;48,72701;
57;9,51604;48,72708;
58;9,5159;48,72725;
59;9,51582;48,72731;
60;9,51416;48,72808;
61;9,51392;48,72828;
62;9,51381;48,72843;
63;9,51373;48,72863;
64;9,5137;48,72875;
65;9,51361;48,72898;
66;9,51345;48,72916;
67;9,51323;48,72932;
68;9,5131;48,72937;
69;9,50972;48,73023;
70;9,50826;48,73066;
71;9,50814;48,73072;
72;9,50794;48,73096;
73;9,5078;48,73119;
74;9,50656;48,7326;
75;9,50651;48,73269;
76;9,50648;48,73278;
77;9,50648;48,73291;
78;9,50653;48,73305;
79;9,50657;48,7331;
80;9,50666;48,73317;
81;9,50703;48,73334;
82;9,50713;48,73341;
83;9,50722;48,73353;
84;9,50752;48,73427;
85;9,50819;48,73562;
86;9,50856;48,73612;
87;9,50881;48,73639;
88;9,50996;48,73737;
89;9,51019;48,73761;
90;9,51044;48,73796;
91;9,51025;48,73807;
92;9,51018;48,73815;
93;9,51019;48,73827;
94;9,51043;48,73886;
95;9,51057;48,7391;
96;9,51077;48,73963;
97;9,51086;48,74016;
98;9,51093;48,74044;
99;9,51119;48,74114;
100;9,51134;48,74141;
101;9,5114;48,74163;
102;9,5115;48,74182;
103;9,51172;48,74209;
104;9,51241;48,7433;
105;9,51251;48,74364;
106;9,51256;48,74479;
107;9,51252;48,74517;
108;9,51243;48,74548;
109;9,51233;48,74571;
110;9,51229;48,74602;
111;9,51222;48,74625;
112;9,51214;48,7464;
113;9,51181;48,74675;
114;9,51135;48,7471;
115;9,51076;48,74745;
116;9,50968;48,74794;
117;9,50905;48,74828;
118;9,50822;48,74884;
119;9,50728;48,74938;
120;9,50706;48,75009;
121;9,50694;48,75065;
122;9,50492;48,75148;
123;9,50408;48,75187;
124;9,50303;48,75244;
125;9,50264;48,7527;
126;9,50069;48,75425;
127;9,50047;48,7544;
128;9,4953;48,75699;
129;9,49464;48,75742;
130;9,4935;48,75831;
131;9,49085;48,76011;
132;9,49057;48,76039;
133;9,48941;48,76203;
134;9,48868;48,76294;
135;9,48832;48,76331;
136;9,488;48,76356;
137;9,48781;48,76368;
138;9,48476;48,76519;
139;9,48404;48,76551;
140;9,48336;48,76577;
141;9,47997;48,76685;
142;9,47844;48,76761;
143;9,47814;48,76779;
144;9,47721;48,76844;
145;9,47687;48,76871;
146;9,47669;48,76891;
147;9,47593;48,77003;
148;9,47555;48,77043;
149;9,47475;48,77113;
150;9,4743;48,77147;
151;9,47374;48,7718;
152;9,47344;48,77203;
153;9,47304;48,7724;
154;9,47285;48,77231;
155;9,4717;48,7735;
156;9,47122;48,77392;
157;9,47049;48,77442;
158;9,46782;48,776;
159;9,46763;48,77608;
160;9,4657;48,77672;
161;9,46222;48,77772;
162;9,46215;48,77775;
163;9,46213;48,77777;
